Korean,English
않는,not
했죠,I did it
나의,my
별로,not really
않은,Unleashed
라고,Called
집,house
여전히,still
없을,There not
딱,Perfect
있어서,So
이야기,story
엄마는,Mom is
부인,ma'am
하는데,to do
않고,Without
알았지,Understand
아니고,Not
여자가,A woman
문,door
되지,Not
거기서,at there
훨씬,more
아버지가,Father
망할,Destroyed
뭔지,What it is
손,hand
수술,surgery
듣고,listen
어쩌면,perhaps
보세요,look
생각이,Thought
어느,any
그러지,So
되면,If it is
아마도,maybe
준비,preparation
전화,phone call
뒤에,behind
도대체,why
너를,you
당신도,You
것처럼,As
않으면,If not
말하는,talking
최고의,Great
말하지,Speak
세,count
모르는,do not know
유일한,only
갑자기,suddenly
이봐요,Hey
건가요,Is it a case
없다고,Not
것입니다,Will be
있잖아요,There is
되고,And
어쨌든,anyway
가진,have
이번,this time
뭐하는,What to do
후에,later
친구가,A friend
지,ji
신경,nerve
그만해,stop
누구야,who is this
당신에게,to you
늘,always
없었어,No
그들을,them
있게,With
알잖아,You know
누군가,someone
분명히,clearly
생각을,Think
존,zone
일단,first
가야,Gaya
걱정,worry
보자,see
매일,everyday
수는,Water
아침,morning
말할,To say
말아요,Don't
모두가,Everyone is
않았어요,I didn't
얘기를,Talk
봤어요,saw
대신,instead
마치,like
건데,I
자넨,Manen
했잖아,You did it
둘이,two people
당신과,with you
집으로,to home
한다,do
두고,Left
이름을,name
있네,There is
그들의,their
뭔데,What
금방,soon
사는,living
좋아하는,Favorite
찾을,Found
맘에,I like it
결국,at last
이유가,the reason is
필요해요,I need
중에,In the middle
그때,at that time
보는,see
너랑,with you
아이를,The child
없잖아,No
한다고,That
기분,mood
하게,to do
놈이,Guy
못해,can not
우리에게,To us
가면,mask
저를,me
잡아,catch
집에서,at home
우리도,We too
기분이,Feel
저희,we
찾고,Finding
손을,hand
거다,Get
어제,yesterday
남자가,A man
뭐지,what
앞으로,from now on
잠깐만요,Wait
자신의,Own
애가,keen
이상한,weird
막,membrane
먹고,eat
아이,kid
언제나,always
여기가,here
아들,son
알게,Know
하세요,do
총,gun
스스로,self
방법이,Method
있던,In
해봐,try
아님,no
때가,Time
아니죠,No
했던,Did
조용히,quietly
밤에,At night
미친,crazy
텐데,It would be
머리,head
않습니다,not
잘못,wrong
고맙습니다,Thank you
있어야,Must be
왜냐하면,because
앉아,sit down
아침에,In the morning
죽일,Kill
환자,patient
양,sheep
없죠,No
일어나,wake up
믿을,Believing
같네요,The same
건가,Gun
게다가,furthermore
알렉스,Alex
타고,Riding
데,place
들었어,I heard
눈을,Eyes
나에게,to me
없었어요,There was no
만나서,meet
진정해,calm down
이것,this
더이상,Anymore
보지,Pussy
방법을,How to
원래,usually
솔직히,to be honest
좋지,It's good
하려고,going to do
빌어먹을,Damn
총을,Gun
길을,Path
누군지,Who is
아니라고,No
자신을,Themselves
여길,Here
있지만,Although
얼른,hurry
얘들아,Guys
대로,Road
만든,made
놈,bloke
조심해,be careful
일에,At work
따라,according to
술,alcohol
정확히,exactly
자기가,Themselves
충분히,enough
힘을,Power
아저씨,mister
알겠지,got it
있었는데,There was
사랑하는,Loving
기다리고,Waiting
될거야,It will be
살아,live
평생,forever
아까,a moment ago
얘야,Hey
눈,eye
거기에,There
애,baby
분명,For sure
말하고,Spoke
역시,also
저희가,we
찾아,find
걔가,She
이럴,This
저기요,hey
너와,with you
될까요,Will it be
천천히,slowly
문제,problem
수술을,Surgery
좋았어,It was good
어디에,where
문을,The door
맞지,Right
어딨어,Where are you
조지,George
아녜요,No
저녁,dinner
됩니다,It's possible
마요,Altar
생각엔,I think
만들어,make
적어도,At least
애들,kids
개,dog
잘했어,good job
그러나,however
주,main
괜찮은,Decent
생각은,Thought
위에,above
가끔,sometimes
있었던,In
간,liver
잠시,for a moment
알아서,By-self
곳에,In place
집을,House
그렇지만,but
그레이,gray
그럼요,sure
삶을,Life
마음에,in the heart
살고,live
들고,With
분,minute
그랬어,I did it
차를,Tea
옆에,Next
아이가,Child
이번엔,this time
저게,That
아빠는,Daddy
괜찮을,It must be okay
하자,let's do it
알았는데,Okay
생각해요,Think about it
없는데,There is no
생각하는,Thinking
아니잖아,No
마지막으로,finally
여자를,The woman
죽었어,Died
멍청한,stupid
훌륭한,excellent
있었지,There was
정도,degree
베일리,Bailey
준비가,Reader
남은,left
있으니까,Because
싫어요,"no, I do not want"
입니다,no see
영원히,forever
엄청난,exorbitant
정신,mental
는,Is
계세요,anybody home
하는지,Whether it is
좋을,Good
있었죠,There was
간다,Goes
기회를,Opportunity
그대로,as it is
하나도,One
멈춰,stop
필요가,Need
도와줘,Help me
다음에,next time
앞에서,in front
뭐든,Whatever
물,water
밖으로,outside
오는,coming
그렇다면,then
미국,USA
말라고,Do not
하지마,don't
서,west
말한,Spoken
테니까,Because
앞에,Before
를,cast
처럼,like
저한테,to me
거고,So
받아,receive
그것도,That too
요즘,recently
믿어,believe
뒤로,backwards
놈들이,Guys
입고,store
보니,Bonnie
속에,inside
잠시만요,wait a minute
소리야,Sound
들어봐,listen
자기야,babe
헤이,hey
에,to
이해가,Understanding
옷,clothes
들어가,Go in
아버지는,My father
않을거야,I will not
있소,There
자네는,You
모르겠지만,I don't know
누구도,Anyone
입,mouth
어머니,mother
특별한,special
좋겠어,I wish
준,June
그것은,that
관한,about
할게,I'll do it
여기는,here is
언니,sister
환자가,Patient
갈게,I'll go
나야,it's me
제게,To me
하루,day
단,step
필,Filling
가세요,go
끔찍한,Horrible
걸로,Lit
사랑,love
일도,Work
아름다운,beautiful
년,year
형,brother
뭐요,what
저런,That
별,star
아니다,no
받고,under
할거야,I will do it
쓸,Useful
씨발,Fuck
돈이,money
그에게,to him
뭔가를,Something
마음을,The heart
문제는,the problem is
의,of
서둘러,Hurry
못할,Unpleasant
없네,There is no
끝났어,it's over
있을거야,Will be
머리를,Head
생각하지,Think
뭐라고요,I beg your pardon
힘든,tiring
보게,Look at
가게,store
말해봐,say it
밥,rice
상황이,Situation
줘요,Give
만큼,as much as
했지만,Though
같은데요,It looks like
이름,name
엄마를,Mom
전화를,phone
어쩔,Forced
있니,Is there
번째,th
할까,Should I
얘길,Talk
찾는,Found
선생님이,Teacher
진짜로,really
일이에요,It's work
건지,Vanity
가족을,Family
할지,Or
중이야,It's heavy
믿지,Believing
닥쳐,shut up
여기로,Here
저건,That
주고,give
멀리,far
어이,hey
거짓말,lie
약,approximately
잭,jack
사실은,in fact
받을,Receiving
그러고,Then
겁니까,Is it
먹을,Eaten
그치만,Yes
너에게,to you
들었어요,I heard it
하기,do
오빠,brother
오고,Come
있을까,Will there be
어린,young
통해,through
아닌데,It's not
조금만,a little bit
맞는,right
차에,In the car
여자는,The woman
보러,to see
손에,In hand
모르지,I don't know
가까이,closely
테니,Tenny
되죠,Has it
점점,Gradually
잔,glass
이야기를,Stories
물론이죠,Sure
학교,school
주는,Giving
아가씨,miss
먹어,eat
것에,On
크게,big
이유는,The reason is
군,army
모두들,Everyone
죽인,Killed
셋,three
알죠,I know
기억,memory
경찰,police
제이,Jay
그래야,So that
목숨을,Risk
있을까요,Is there?
아니지만,Not
했다,did
딸,daughter
많아,many
떨어져,away
사람이야,It's a person
다시는,never
거잖아,That's it
애들이,Kids
애를,Child
을,second
말이다,말이다
없다는,Not
만들,make
오면,When it comes
할게요,I'll do it
아기,baby
영화,movie
가족,family
찾았어,I found it
특히,especially
아들을,Son
제발요,please
꿈을,dream
세상을,The world
놈을,Guy
아니었어,No
마이크,mike
그리,picture
무엇을,what
만드는,fabricated
얼마,how much
보여요,Show
사진,picture
칼,knife
잠시만,for a moment
병원에,To the hospital
같습니다,Same
바보,fool
열어,open it
현재,today
해줘,Do it
주지,gist
했습니다,I did
자주,often
있겠지,I must be
하는거야,Do it
샘,fountain
꺼져,go away
가만히,Still
그랬지,It did
지금까지,until now
저거,that
당연하지,of course
나서,Out
그것,that
또한,also
보이지,Not visible
노래,sing
위험한,dangerous
클레어,Claire
쉽게,easily
오지,Backcountry
정말요,really
계획이,Plans
잡고,Grab
열심히,try hard
마라,Mara
경찰이,Police
말하면,In other words
방에,In my room
됐다,done
마음이,Mind
메러디스,Merdis
운이,Lucky
드디어,at las
정보를,Information
말입니다,Word
때는,When
얼굴을,Face
만난,Met
있거든,Is there
달,moon
약간,a little
했다고,I did it
일찍,early
굉장히,greatly
못해요,I can not
진실을,Truth
줄게,I'll give
아세요,do you know
누굴,Who's
거라,Giant
가족이,Family
새로,New
절대로,never
와요,come
알지만,I know
되어,Became
내려,get off
같네,The same
그거야,That's
크리스티나,Christina
사이에,Between
자꾸,repeatedly
저리,there
사실을,Facts
프랭크,Frank
와우,wow
뛰어,run
갔어,I went
죽게,Dead
네게,For you
심지어,even
글쎄요,well
사람의,people's
오랫동안,for a long time
모습을,Look
얘기가,Talking
아이고,oh my
상관,relation
일하는,working
짐,load
길,road
사건,Event
그렇다고,Yes
들어요,listen
상황을,The situation
옷을,Clothes
일이죠,It's work
아니예요,No
죽어,die
뿐이에요,It's just
필요는,Necessary
여기요,Here you go
사랑해요,i love you
죽는,perishing
누군가가,Someone
얘기해,Talk
모두를,Everyone
커피,coffee
있는거야,Is there
있으니,In
없지만,Not
열,heat
다신,Dazzle
만날,everyday
남자는,The man
저희는,We
떠날,Leaving
맞죠,Right
아들이,Son
놈은,Guy
하나가,One
의사,doctor
박사님,Dr.
나오는,Outdated
딸이,Daughter
거짓말을,lie
했고,And
얼굴,face
보내,send
받은,received
쓰고,Written
곳이,Place
된다고,That
설마,no way
우리한테,To us
방법은,Way
인생을,Life
보이는,Visible
정도로,To the extent
아니오,no
여러,several
자고,Sleep
한다면,if
실례합니다,excuse me
기회가,Chance
했을,I would
결혼,marriage
소리를,Sound
알았다,I get it
해야지,Should be
완벽한,Perfect
있었다,there was
곳을,Place
겨우,barely
없으면,Without
아내가,wife
있습니까,Is there
만들고,Made
비켜,Move
그것을,that
피를,Blood
못한,Unpleasantly
말씀,words
자식,child
만약에,If the
위대한,great
써,write
이리와,Come on
눈이,Snow
사람도,Personality
요,yo. this
자신이,myself
당신한테,To you
보통,commonly
나갈,Go out
문제를,Problem
보다,see
앉아서,Sitting
도와줘요,Help me
원하지,Not
이쪽으로,Come this way
생각하고,Think about it
갑시다,let's go
사랑을,Love is
너네,Yours
조,article
밖에서,outside
들어와,come in
그렇군요,okay
척,chuck
같군,The same
나온,Out
같지,Equal
불러,Call
도움을,help
마음,mind
최선을,Best
된다,do
곳으로,Places
아기를,Baby
죽이고,Killing
대단한,Great
뭐예요,what
환자를,Patient
똑같은,same
가능한,possible
친구들,friends
원해,want
좋아해,i like you
될까,Will it be
봤지,I saw it
방,room
몰라도,I don't know
갈게요,I'll go
때도,Time
움직여,in action
눈에,In the eyes
숨을,Breathe
음악,music
자는,sleeping
딸을,Daughter
모르겠네요,I don't know
의사가,Doctor
셜록,Sherlock
딴,different
가져와,Brought
세상에서,in the world
소리가,Sound
시간은,time is
도울,Help
만한,Only
남편이,husband
한다는,To do
아버지를,Father
일로,Work
감옥에,In jail
됐지,That
짓,act
순간,Moment
도와줄,Help
있도록,So as
할머니,grandma
짓이야,It's a thing
쓰는,inscribed
했잖아요,I did it
너희들,you
피터,Peter
당신들,You
그날,that day
화가,artist
새끼,young
쓴,written
안에서,In
최대한,Most
하네,It is
팀,team
이후로,after that
그들,them
이지,easy
그치,right
죽었어요,Dead
곳에서,In place
때마다,Whenever
몸이,body
모든게,Everything
캠,cam
어차피,anyway
압니다,I know
기억이,memory
어딜,Wherever
산,mountain
들려,I can hear
있네요,There is
분이,Minute
없어서,So
이곳에,Here
미안하지만,I'm sorry
일어난,Rising
왔습니다,came
로스,Loss
속에서,inside
친구를,friends
모르지만,I don't know
예쁜,pretty
몸을,Body
잊지,Forget
엄마한테,To mom
왔다,come
했는지,I did it
타,get on
같군요,It's the same
명,number of people
모든걸,Everything
하라고,To do it
그렇습니다,That's right
때문이야,Because
있겠어,There must be
덕분에,Thanks to
싶으면,If you want to
나가서,Go out
비밀,secret
달라,different
것보다,Overwhelm
찾았어요,I found it
대,big
데릭,derrick
고통을,Pain
환자는,The patient
엄마랑,With mom
진정한,genuine
같다,same
생긴,appeared
병원,hospital
반가워요,nice to meet you
내내,all the time
가도,street
생각에,I think
오세요,Please come
이러지,This
따르면,according to
고맙네,Thank you
할까요,should
사진을,Photos
않게,So
한잔,a drink
않는다,Not
있었고,There was
되는데,I am
남자를,Man
안으로,in
알았죠,Okay
물론이지,of course
보낸,Sent
피가,Bloody
하니까,So
아가,baby
반드시,certainly
아무리,no matter how
얘기는,The story
잘못된,wrong
오케이,okay
알아야,Should know
걸요,I go
해줄,To be
자리를,Seating
문제야,Problem
이유를,The reason
그러다,Then
약을,medicine
싶었어,I wanted to
높은,High
같아서,Likely
이해,understanding
하나만,just one
돌아올,Back
있는게,Is it
좋습니다,great
좋다,good night
배를,Pear
찾아야,Need to find
못하게,So much
막을,Forth
계획을,Planning
루크,Luke
이래,since
모르고,unwittingly
없잖아요,There is no
그녀,she
그동안,Meantime
거니,거니
빼고,without
거긴,Raw
이라고,Is it
그랬어요,I did
더는,No more
죽지,Dying
녀석,guy
몰랐어,I did not know
리,lee
뭐라,what
박사,doctor
죽였어,Killed
믿고,Believe
좋네요,It's good
여기까지,So far
이쪽은,This is
사람들에게,To people
아빠를,Dad
어려운,difficult
봤는데,I saw it
적은,few
법을,Law
모르겠다,I don't know
신이,God
그렇고,Yes
관심,interest
집이,House is
오직,Only
좋아해요,i like you
있었습니다,It was
나은,better
않아도,Even
나면,If it is
옛날,A long ago
얘가,This one
식으로,In a way
그걸로,That
냄새가,Smell
못하는,Unmatched
인간,human
세상이,The world
책,book
모두에게,to everyone
말해줘,tell me
처음으로,For the first time
그러게,I know
실제로,actually
제임스,James
데려다,Take
크리스마스,christmas
보기,look
신의,faith
말했잖아,I told you
말했어,I said
돌아갈,Back
한번도,never
긴,long
움직이지,Moving
착한,kind
일이지,Work
쓰지,Use
곳,place
도와주세요,help
그러죠,Yes
거니까,Because
곁에,beside
그녀에게,to her
그러는,That
머리에,Head
확인해,check it
싶어서,I want to
것들을,Things
데이트,date
사고,accident
한거야,I did it
세상,world
감사해요,thank you
책을,Books
배,ship
젊은,young
가자고,Let's go
아닌가,is not it
좋겠어요,It's good for you
비행기,airplane
맥스,Max
하잖아,I do it
없소,No
애들은,The kids
오늘밤,Tonight
고맙다,thanks
라는,in
언젠가,someday
필요할,Necessary
아이들을,Children
우리와,With us
머리가,Head
그것이,That is
세계,world
애는,Child
죽여,Kill
차가,car
죽고,Dying
따라와,Follow
힘이,strength
확실해,Are you sure
기억해,remember
있어도,Even if there is
자네를,You
오래된,old
기억나,I remember
루시어스,Lucyus
분은,Minute
얘기하고,Talk
상관없어,doesn't care
다섯,five
이제는,now
없네요,No
돌아가,go back
자리에,In place
이만,this much
바랍니다,wish
느낌이,the feeling is
어머,oh
뭐든지,anything
되요,I am
마약,drug
행운을,Good luck
봐야,Should be seen
선생님은,The teacher
줄은,Line
몰래,stealthily
불쌍한,poor
아니잖아요,No
있거든요,I have it
며칠,few days
저랑,With me
결코,never
이걸로,With this
안녕히,Bye
아이는,The child
자네의,You
입을,Mouth
근처에,Near
들은,Heard
뭐하는거야,what are you doing
기다려요,Wait
뭐라도,Anything
않지만,Although not
배가,My stomach
뒤,back
어떡해,oh my god
몸,body
죽이지,Kill
가질,Having
해주세요,Please
봐라,See you
어서요,Come on
어째서,why
놓고,In place
지금도,Even now
아나,Ana
맞다,right
좋네,Good
의해,due to
시간에,In time
차라리,rather
헨리,Henry
가끔은,Sometimes
생각했어,I thought
할아버지,grandfather
덜,Less
곳은,Place
남편,husband
애들을,Kids
구할,Objection
싶은데,I want to
불,fire
생일,birthday
저렇게,Like that
돈은,Money
아직은,Not yet
상태가,Status
위로,consolation
가져,take it
얘긴,Talked
안전한,safe
실수를,Mistake
미리,beforehand
모를,Unknown
명이,Mine
사랑에,in love
전엔,Before
갔어요,went
갖다,have
대화를,Conversation
하나는,The one is
벤,Ben
지도,map
가능성이,possiblity
하는게,Doing
있는데요,There is
실은,actually
먹는,Eaten
확인,check
심각한,Serious
달라고,I ask you
것만,Only
있기,Stay
그와,With
형사님,Detective
모르죠,I don't know
몰랐어요,I did not know
결정을,Decision
파티,party
날이,the day
최악의,Worst
많아요,many
죄송하지만,I'm sorry
있었는지,Was there
미스터,Mister
평범한,Normal
뜻이야,I mean
올게,I'll come
살인,Murder
있겠죠,It must be
들을,Listen
믿어요,believe
우선,first of all
마시고,Drink
당신들이,You guys
자네도,You too
혼자서,alone
심장,heart
좋은데,Good
그런거,That
그들에게,To them
녀석이,Guy
하면서,while doing
좋아하지,I like it
너희가,You
처음부터,From the beginning
심장이,Heart
보낼,Sending
가만,wait
않는다면,If not
심장을,Heart
자넬,Zinel
뭐라구요,What did you say
갔다,went
고양이,cat
위치를,Location
첫번째,first
생각도,Thought
동생,Brother
못했어,I can't
않았다,I did not
내버려,Let
진심으로,sincerely
당연하죠,of course
번도,Many
둘다,both
과장님,Manager
중입니다,I am in
마침내,Finally
씨가,Seed
검은,black
오말리,Omali
봐도,Even
적도,equator
아닐,No
다리,leg
무기를,Weapon
주면,Noodle
돌아,spin
릴리,Lily
뭔가가,Something
따로,separately
없으니까,Because there is no
어디야,where are you
끝까지,to the end
준비해,Prepared
카메라,camera
아무튼,anyway
알다시피,as you know
죽으면,If you die
않죠,No
만나,meet
않나,Not
아니라면,If not
임마,Hey
중이에요,I'm in
누군가를,Someone
있을지,Or
있단,In
돌아와,Come back
메리,merry
보자고,Let's see
돼서,After
들어갈,Inhabited
않지,Not
목을,Neck
마크,mark
정도는,Degree
아는데,I know
게임,game
강한,strong
정말이야,Really
받는,subject
물건을,Things
무서워,scared
것으로,With
얘기할,To talk
싶었어요,I wanted to
수정,correction
걱정하지,I'm worried
뭐에요,What is it
제길,damn
가치가,Value
말인지,Cognition
수술이,Surgery
없다면,If not
톰,Tom
클라라,Clara
삼촌,uncle
찾은,Found
질문,question
저들이,They
서로를,Each other
얼굴이,Face
아무래도,Maybe
당신들은,You guys
사건을,The case
됐죠,Okay
꿈,dream
입은,Driven
받았어,I received it
할수,Could
빠져,Inferior
물을,the water
아기가,Baby
닉,Nick
것과,And
명령을,Command
부터,from
거라면,If it is
죽이는,killing
정신이,Spirit
아파,it hurts
모르겠네,I don't know
똑같이,same
꽤나,quite
되잖아,That is
형이,Brother
밑에,under
아니었어요,It wasn't
어렸을,Childhood
말했어요,I said
그만해요,stop it
에서,at
학교에,at school
아무런,Any
글로리아,Gloria
반,half
아이들이,the kids are
그리곤,Then
거냐,Is it
한데,One
아버지의,Father
받지,Receiving
일하고,Work
말이오,I mean
없나요,Is there not
원한다면,If you want
생각할,Think about
버려,throw away
즉시,immediately
거대한,giant
가봐,Go
발,foot
들어가서,In
시작,start
사람에게,To man
내놔,Give me
행복한,happy
나머지,remain
윌,Will
도와,help
노래를,song
왔는데,I came
요원,agent
되게,very
누구죠,Who are you
얼굴에,On the face
하실,To be
환영합니다,welcome
걸까,Will it be
되겠지,It will be
괜찮지,Are you fine
하던,Dungeon
아내를,Wife
놈의,Gnome
미쳤어,it's crazy
이것도,This too
일부러,on purpose
혹은,or
나올,Come out
찾으러,To find
걔는,She is
잡을,Grab
똑바로,upright
얻을,get
이해해,I understand
무지,ignorance
쪽으로,towards
무슨일이,what happened
이해할,Understanding
친구야,friend
어머니가,mother
질문을,Question
워,woah
엎드려,Lying down
있단다,Is there
너희들이,You guys
놈들,Guys
병원에서,In the hospital
친구는,Friends
믿는,Believed
회사,company
떨어진,fallen
간에,Liver
쪽,side
다야,Ya
선물,gift
안되는,Nerd
찾아서,In search of
전쟁을,War
친구들이,Friends
마이클,Michael
싸울,Fight
만나고,Meet
기다리는,waiting
쉬운,easy
매니,Mani
말로는,In words
관심이,Interest
에이미,Amy
사람이에요,I am a person
끝난,done
원치,Watershed
재밌는,fun
말인데,Word
그렇겠지,Yes
피,blood
예전에,Before
건배,Cheers
뭔데요,What is it
알면,If you know
엄마도,Mom too
것들이,Things
하려는,To be
맨날,everyday
있군,There
물러서,Retreat
숨,breath
팔,eight
더러운,dirty
옳은,correct
출혈이,Bleeding
즐거운,happy
다음엔,Next time
뭐해,What are you doing
준비됐어,Prepared
검사,test
제기랄,Shit
길이,length
나만,only me
있고요,There is
이것은,this is
좋겠다,Envy you
전에도,Before
함장님,Captain
나쁘지,Bad
관해,About
원,one
죽음을,Death
사람들의,People's
해라,do it
알잖아요,You know
거란,Ruin
다리를,Legs
어젯밤에,Last night
보내고,Send it
쟤가,Go
오후,afternoon
영향을,Affect
바라는,Desired
만나러,To meet
이러는,Like this
다음은,next
보죠,Look at it
말해야,I have to say
몸에,On the body
아빠한테,To my dad
약속을,promise
드릴게요,I'll give you
미안하다,sorry
바람,wind
있다고요,There is
은,silver
하나를,One
최소한,at least
전하,majesty
조니,Johnny
발사,launch
무서운,scary
못하고,Unfortunately
이길,Winning
일어날,Wake up
말하자면,as it were
까지,until
나보다,than me
둘은,The two
놈들은,Guys
능력을,Ability
차에서,In the car
않네,Not
생각했어요,I thought
그랬죠,I did
상처를,Wounds
생겼어,I got it
물이,water is
가까운,near
켄,Ken
없나,Is there no
보라고,Look at it
불을,Fire
종일,all day
레이,ray
아이구,Oops
미래를,The future
하나의,Single
점심,lunch
나가요,Go out
최근에,Recently
있었다고,There was
최고,best
가라,good
파티에,Party
진짜야,Really
아픈,Hurt
리가,Liga
것들,those
전에는,late
맞았어,You're right
걸어,walk
않나요,Isn't it
효과가,Effective
때부터,From time to time
수술에,Surgery
되나요,Is it
도시,city
아래,under
모릅니다,I do not know
자리,seat
죄를,Sin
가져다,Take
감히,dare
진심이야,I'm serious
돌려,Turn
뭐하고,What to do
누구지,Who is it
아닌가요,is not it
저흰,Bust white
일인지,Work
인간의,human's
저의,my
그땐,Then
명의,Name
남았어,Left
하루종일,All day
